CATEGORY#;CATEGORY;BJCP#;BEERSTYLE;OGMIN;OGMAX;FGMIN;FGMAX;ABVMIN;ABVMAX;IBUMIN;IBUMAX;SRMMIN;SRMMAX
22;Strong American Ale;22B;American Strong Ale;1,062;1,090;1,014;1,024;6,3;10,0;50;100;7;18
22;Strong American Ale;22C;American Barleywine;1,080;1,120;1,016;1,030;8,0;12,0;50;100;9;18
22;Strong American Ale;22D;Wheatwine;1,080;1,120;1,016;1,030;8,0;12,0;30;60;6;14
23;European Sour Ale;23A;Berliner Weisse;1,028;1,032;1,003;1,006;2,8;3,8;3;8;2;3
23;European Sour Ale;23B;Flanders Red Ale;1,048;1,057;1,002;1,012;4,6;6,5;10;25;10;17
23;European Sour Ale;23C;Oud Bruin;1,040;1,074;1,008;1,012;4,0;8,0;20;25;17;22
23;European Sour Ale;23D;Lambic;1,040;1,054;1,001;1,010;5,0;6,5;0;10;3;6
23;European Sour Ale;23E;Gueuze;1,040;1,054;1,000;1,006;5,0;8,0;0;10;5;6
23;European Sour Ale;23F;Fruit Lambic;1,040;1,060;1,000;1,010;5,0;7,0;0;10;3;7
23;European Sour Ale;23G;Gose;1,036;1,056;1,006;1,010;4,2;4,8;5;12;3;4
24;Belgian Ale;24A;Witbier;1,044;1,052;1,008;1,012;4,5;5,5;8;20;2;4
24;Belgian Ale;24B;Belgian Pale Ale;1,048;1,054;1,010;1,014;4,8;5,5;20;30;8;14
24;Belgian Ale;24C;Bière de Garde;1,060;1,080;1,008;1,016;6,0;8,5;18;28;6;19
25;Strong Belgian Ale;25A;Belgian Blond Ale;1,062;1,075;1,008;1,018;6,0;7,5;15;30;4;6
25;Strong Belgian Ale;25B;Saison;1,048;1,065;1,002;1,008;5,0;7,0;20;35;5;14
25;Strong Belgian Beer;25C;Belgian Golden Strong Ale;1,070;1,095;1,005;1,016;7,5;10,5;22;35;3;6
26;Monastic Ale;26A;Belgian Single;1,044;1,054;1,004;1,010;4,8;6,0;25;45;3;5
26;Monastic Ale;26B;Belgian Dubbel;1,062;1,075;1,008;1,018;6,0;7,6;15;25;10;17
26;Monastic Ale;26C;Belgian Tripel;1,075;1,085;1,008;1,014;7,5;9,5;20;40;4,5;7
26;Monastic Ale;26D;Belgian Dark Strong Ale;1,075;1,110;1,010;1,024;8,0;12,0;20;35;12;22
27;Historical Beer;27;Kellerbier;1,045;1,051;1,008;1,012;4,7;5,4;20;35;3;7
27;Historical Beer;27;Kentucky Common;1,044;1,055;1,010;1,018;4,0;5,5;15;30;11;20
27;Historical Beer;27;Lichtenhainer;1,032;1,040;1,004;1,008;3,5;4,7;5;12;3;6
27;Historical Beer;27;London Brown Ale;1,033;1,038;1,012;1,015;2,8;3,6;15;20;22;35
27;Historical Beer;27;Piwo Grodziskie;1,028;1,032;1,006;1,012;2,5;3,3;20;35;3;6
27;Historical Beer;27;Pre!Prohibition Lager;1,044;1,060;1,010;1,015;4,5;6,0;25;40;3;6
27;Historical Beer;27;Pre!Prohibition Porter;1,046;1,060;1,010;1,016;4,5;6,0;20;30;20;30
27;Historical Beer;27;Roggenbier;1,046;1,056;1,010;1,014;4,5;6,0;10;20;14;19
27;Historical Beer;27;Sahti;1,076;1,120;1,016;1,038;7,0;11,0;0;15;4;22
